ind,period,sex,age,d13C,d15N,agecode,timecode
M1 T10,archaico,m,mid,-11.53,24.31,2,1
MI T12,archaico,m,young,-11.26,24.04,1,1
MI T23C13,archaico,f,young,-13.84,25.48,1,1
M1 T4,archaico,m,young,-11.08,23.43,1,1
AZ115 T17B,formativo,f,mid,-14.87,17.1,2,2
AZ115 T25,formativo,f,mid,-14.43,17.7,2,2
AZ115 T8,formativo,f,mid,-13.08,15.55,2,2
AZ115 T11,formativo,f,mid,-15.62,15.87,2,2
AZ115 T21,formativo,f,mid,-14.22,14.74,2,2
AZ14 T14,formativo,f,young,-17.05,17.755,1,2
AZ14 T1F5,formativo,f,young,-17.02,17.61,1,2
AZ14 T7,formativo,f,old,-18.28,13.585,3,2
AZ115 T9,formativo,f,mid,-15.05,15.37,2,2
AZ14 TX,formativo,f,young,-18.35,16.66,1,2
Az115 T16,formativo,m,young,-13.4,21.35,1,2
Az115 T5,formativo,m,mid,-14.81,16.8,2,2
AZ115 T18,formativo,m,mid,-14.29,16.53,2,2
AZ115 T19,formativo,m,mid,-15.16,17.27,2,2
AZ115 T22,formativo,m,mid,-11.94,19.98,2,2
AZ115 T26,formativo,m,mid,-13.08,15.55,2,2
AZ14 ENT1,formativo,m,adult,-12.7,24.96,0,2
AZ14 T1,formativo,m,mid,-16.96,17.395,2,2
AZ14 T10,formativo,m,mid,-11.81,25.525,2,2
AZ115 T3B,formativo,m,mid,-15.78,17.92,2,2
AZ14 T76B,formativo,m,young,-18.2,13.65,1,2
AZ11 SEC T8,late-int,f,old,-11.07,11.56,3,4
AZ11 T3,late-int,f,old,-14.93,10.68,3,4
AZ76 T3,late-int,f,mid,-13.59,18.59,2,4
AZ8 T24,late-int,f,old,-12.14,19.82,3,4
AZ8 T30,late-int,f,young,-11.61,20.69,1,4
AZ8 T31,late-int,f,young,-12.16,17.43,1,4
AZ8 T38,late-int,f,young,-12.19,20.06,1,4
AZ8 T40,late-int,f,mid,-10.66,15.24,2,4
AZ8 T57 ,late-int,f,mid,-10.8,21.2,2,4
AZ8 T9,late-int,f,young,-10.6,21.64,1,4
Az11 T7,late-int,f ,mid,-11.76,17.57,2,4
AZ8 T13,late-int,m,young,-11.26,20.39,1,4
AZ8 T25,late-int,m,mid,-11.75,20.42,2,4
AZ8 T35,late-int,m,young,-11.2,20.32,1,4
AZ8 T42,late-int,m,young,-15.54,17.49,1,4
AZ8 T7A,late-int,m,mid,-12,20.92,2,4
Az6 T19,medio,f,young,-10.16,25.67,1,3
AZ71 T101A,medio,f,mid,-11.35,18.15,2,3
AZ141 DES02,medio,f,mid,-13.41,23.89,2,3
Az141 T33,medio,m,old,-12.26,11.72,3,3
Az141 T52,medio,m,mid,-11.3,19.24,2,3
Az6 T116R,medio,m,mid,-11.15,21.63,2,3
AZ6 T36J,medio,m,young,-11.17,21.05,1,3
AZ6 T71,medio,m,young,-11.41,15.92,1,3
AZ6 T41B,medio,m,mid,-11.41,20.35,2,3
CAM 9 T59W,tardio,f,adult,-12.05,24.76,0,5
CAM8 T15,tardio,f,old,-12.54,20.49,3,5
CAM8 T6,tardio,f,mid,-12.49,23.76,2,5
CAM8 TA1,tardio,f,mid,-12.12,23.98,2,5
CAM9 T12,tardio,f,mid,-11.1,23.04,2,5
CAM9 T19,tardio,f,young,-11.04,23.81,1,5
CAM8 T19,tardio,f,old,-12.14,23.45,3,5
CAM8 T3,tardio,f,mid,-12.18,25.23,2,5
CAM8 T9,tardio,f,young,-13.06,23.69,1,5
CAM9 T16,tardio,f,mid,-11.72,24.34,2,5
CAM9 T2,tardio,f,adult,-11.03,24.15,0,5
CAM9 T54C2,tardio,f,young,-11.79,24.02,1,5
CAM9 T61,tardio,f,mid,-10.5,22,2,5
CAM8 T4CF4,tardio,m,mid,-11.86,25.11,2,5
CAM8 TA2,tardio,m,old,-11.88,22.67,3,5
CAM8 TA4,tardio,m,old,-11.82,22.89,3,5
CAM8 TUW1,tardio,m,old,-11.64,20.99,3,5
CAM9 T13,tardio,m,old,-10.72,23.49,3,5
CAM9 T14,tardio,m,young,-11.69,24.88,1,5
CAM9 T32C2,tardio,m,young,-11.28,24.78,1,5
CAM9 T33,tardio,m,mid,-10.36,24.59,2,5
CAM9 T8,tardio,m,mid,-10.86,24.17,2,5
