Iso1,Iso2,group,community
-11.53,24.31,1,1
-11.26,24.04,1,1
-13.84,25.48,1,1
-13.4,21.35,2,1
-14.87,17.1,2,1
-14.43,17.7,2,1
-15.78,17.92,2,1
-14.81,16.8,2,1
-15.05,15.37,2,1
-12.7,24.96,2,1
-11.89,22.9,3,1
-14.46,16.02,3,1
-13.9,18.57,3,1
-11.27,20.46,3,1
-10.67,17.36,3,1
-12.16,14.57,3,1
-12.26,11.72,3,1
-11.3,19.24,3,1
-11.15,21.63,3,1
-10.16,25.67,3,1
-11.17,21.05,3,1
-11.41,15.92,3,1
-11.35,18.15,3,1
-13.41,23.89,3,1
-11.41,20.35,3,1
-13.79,20.07,4,1
-11.62,22.5,4,1
-15.37,16.56,4,1
-11.76,17.57,4,1
-13.59,18.59,4,1
-11.26,20.39,4,1
-12.14,19.82,4,1
-11.75,20.42,4,1
-11.61,20.69,4,1
-12.16,17.43,4,1
-11.2,20.32,4,1
-12.19,20.06,4,1
-10.66,15.24,4,1
-15.54,17.49,4,1
-10.8,21.2,4,1
-12,20.92,4,1
-10.6,21.64,4,1
-11.07,11.56,4,1
-12.63,21.17,4,1
-14.93,10.68,4,1
-17.81,11.75,4,1
-12.45,20.5,5,1
-10.02,23.06,5,1
-12.05,24.76,5,1
-12.54,20.49,5,1
-12.14,23.45,5,1
-12.18,25.23,5,1
-11.86,25.11,5,1
-12.49,23.76,5,1
-13.06,23.69,5,1
-12.12,23.98,5,1
-11.88,22.67,5,1
-11.82,22.89,5,1
-11.1,23.04,5,1
-10.72,23.49,5,1
-11.69,24.88,5,1
-10.47,24.77,5,1
-11.72,24.34,5,1
-11.03,24.15,5,1
-10.34,24.63,5,1
-11.28,24.78,5,1
-11.79,24.02,5,1
-9.88,24.59,5,1
-10.5,22,5,1
-10.86,24.17,5,1
-11.64,20.99,5,1
-11.04,23.81,5,1
-10.36,24.59,5,1
