iso1,iso2,group
-16.5,20.3,1
-16.3,20,1
-18.8,21.5,1
-16.1,19.4,1
-16.2,19.1,1
-18.4,17.3,2
-19.9,13.1,2
-19.4,13.7,2
-20.8,13.9,2
-19.8,12.8,2
-20.1,11.4,2
-20.1,11.3,2
-18.1,11.5,2
-20.6,11.9,2
-19.3,12.5,2
-20.2,13.3,2
-19.2,10.7,2
-16.9,16,2
-18.1,11.5,2
-22,13.4,2
-16.8,21.5,2
-22,13.8,2
-22,13.6,2
-23.3,9.6,2
-23.2,9.7,2
-23.4,12.7,2
-17.7,21,2
-17.2,10.6,3
-17.3,7.7,3
-16.3,15.2,3
-16.1,17.6,3
-15.2,21.7,3
-16.2,17.1,3
-16.4,11.9,3
-16.3,14.2,3
-18.4,19.9,3
-16.4,16.4,3
-16.8,13.6,4
-18.6,14.6,4
-16.3,16.4,4
-17.1,15.8,4
-16.8,16.4,4
-16.6,16.7,4
-17.2,13.4,4
-16.2,16.3,4
-17.2,16.1,4
-15.7,11.2,4
-20.5,13.5,4
-15.8,17.2,4
-17,16.9,4
-15.6,17.6,4
-16.1,7.6,4
-19.9,6.7,4
-22.8,7.8,4
-17.1,20.8,5
-17.5,16.5,5
-17.1,19.4,5
-17.2,21.2,5
-16.9,21.1,5
-17.5,19.8,5
-18.1,19.7,5
-17.1,20,5
-16.9,18.7,5
-16.8,18.9,5
-16.1,19,5
-15.7,19.5,5
-16.7,20.9,5
-15.5,20.8,5
-16.7,20.3,5
-16,20.2,5
-15.3,20.6,5
-16.3,20.8,5
-16.8,20,5
-14.9,20.6,5
-15.5,18,5
-15.9,20.2,5
-16.6,17,5
-16,19.8,5
-15.4,20.6,5
-23.6,0.4,6
-22.4,0.6,6
-23.7,1.08,6
-22.4,1.3,6
-20.7,2.4,6
-24,3.8,6
-20.2,4.2,6
-23.2,4.3,6
-20.6,5.4,6
-25.5,5.5,6
-22.9,6.2,6
-11.5,4.6,7
-11.7,8.5,7
-11.5,21.5,7
-17.8,13.1,8
-11.7,13.5,8
-13,14.1,8
-17.1,14.3,8
-16.6,14.6,8
-12.5,15.3,8
-16.4,15.3,8
-16.6,15.5,8
-15.4,15.9,8
-16.1,15.9,8
-17.7,15.9,8
-17.3,16,8
-17.1,16.3,8
-16.3,16.6,8
-15.2,16.7,8
-13.4,16.8,8
-19.1,16.9,8
-13.2,17.3,8
-16.6,17.3,8
-15.6,17.4,8
-16.1,17.6,8
-15.7,17.7,8
-18.1,17.8,8
-16.6,17.8,8
-17.2,17.8,8
-13.3,17.9,8
-14.8,18.1,8
-14.5,18.1,8
-15.1,18.5,8
-15.9,18.7,8
-15.8,18.7,8
-15.8,18.8,8
-16.6,19,8
-14.9,19.6,8
-16.4,19.7,8
-15.1,19.7,8
-12.4,19.7,8
-16.4,19.8,8
-15.2,19.8,8
-14.9,19.8,8
-15.8,20.1,8
-12.2,20.2,8
-11.4,20.4,8
-13.3,20.5,8
-14.4,20.5,8
-14.4,20.6,8
-16.3,21.5,8
-14.1,21.6,8
-15.4,21.8,8
-15,22,8
-16.6,22,8
-15.3,22.2,8
-16.8,23.8,8
-14.9,20.2,8
-12.7,20.6,8
-12.9,21.9,8
-16.1,18.2,8
-12.8,18.4,8
-15.7,13.7,9
-11.6,13.9,9
-16,15.1,9
-21.5,4.6,10
-20.6,6,10
-23.1,7.2,10
-20.5,7.7,10
-20.5,8.7,10
-21.3,9.5,10
